BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
94	53		4	PCA9306GM	XQFN-8	U4, U5, U25, U30	U4_PB,  U5_PB,  U25_PB,  U30_PB	PB V0.37 R1.2		SMT				771-PCA9306GM125	 863-PCA9306AMUTCG 		apertus	?	Bestellen	Bidirectional low voltage translator,SOIC-8	€0.40	https://datasheet.octopart.com/PCA9306GM%2C125-NXP-Semiconductors-datasheet-11551516.pdf
95	54		4	MCP23018-E/MJ	QFN50P400X400X80-25N	U6, U7, U8, U9	U6_PB,  U7_PB,  U8_PB,  U9_PB	PB V0.37 R1.2		SMT			1854489				apertus	tube -> tray (4x4x0.9mm)?	Bestellen	haben nur noch ein paar im hub lagernd	€1.15	https://datasheet.octopart.com/MCP23018-E/MJ-Microchip-datasheet-8329678.pdf
96	55		4	AP7312-3333W6-7	SOT23-6	U10, U11, U12, U13	U10_PB,  U11_PB,  U12_PB,  U13_PB	PB V0.37 R1.2		SMT					621-AP7312-3333W6-7		apertus	8mm Tape	ca. 100	Dual Output SOT23-6 Linear Regulators	€0.30	https://datasheet.octopart.com/AP7312-3333W6-7-Diodes-Inc.-datasheet-11761592.pdf
97	56		11	PAC1720	DFN3X3_10LEAD	U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24	U14_PB,  U15_PB,  U16_PB,  U17_PB,  U18_PB,  U19_PB,  U20_PB,  U21_PB,  U22_PB,  U23_PB,  U24_PB	PB V0.37 R1.2	BOT/TOP	SMT					579-PAC1720-1-AIA-TR		apertus	12mm tape	Bestellen	haben zu wenige im hub	€0.84	https://datasheet.octopart.com/PAC1720-1-AIA-TR-Microchip-datasheet-62307927.pdf
98	57		1	SC202A	MLPQ-13	U26	U26_PB	PB V0.37 R1.2		SMT					947-SC202AMLTRT		apertus	Cut Tape/Reel	Bestellen		€1.25	https://datasheet.octopart.com/SC202AMLTRT-Semtech-datasheet-41203818.pdf
99	58		1	TS3A4751	SOP65P640X120-14N	U27	U27_PB	PB V0.37 R1.2		SMT				44703963	595-TS3A4751PWR 		apertus	Cut Tape/Reel	Bestellen		€0.75	https://www.ti.com/lit/ds/symlink/ts3a4751.pdf?ts=1606467534063
100	59		1	IP4251CZ16-8-TTL	SON40P135X330X55-17N	U28	U28_PB	PB V0.37 R1.2	BOT	SMT				771-IP4251CZ168TTL1	NXP	IP4251CZ16-8-TTL	apertus	Cut Tape/Reel	Bestellen	passive filter network	€0.26	https://datasheet.octopart.com/IP4251CZ16-8-TTL%2C1-Nexperia-datasheet-87581341.pdf
101	60	X	1	PCT2075TP,147	HWSON8	U29	U29_PB	PB V0.37 R1.2	TOP	SMT			2396745				apertus			Digital temperature sensor and thermal watchdog, auch schon am SB	TODO	TODO
102	61		1	NCP715	DFN150X150X50-6N	U31	U31_PB	PB V0.37 R1.2		SMT				863-NCP715MX30TBG 			apertus	Cut Tape	Bestellen	Spannungsregler	€0.46	https://datasheet.octopart.com/NCP715MX30TBG-ON-Semiconductor-datasheet-33006861.pdf
103	62		1	5pin Stecker	PICO-SPOX-5	X1	X1_PB	PB V0.37 R1.2		SMT			1711330				apertus	16mm Tape	~50		€0.50	https://datasheet.octopart.com/874380543-Molex-datasheet-166176.pdf
104	63		1	Pin Header 2x2 90° 	2X2 / 90°	X2	X2_PB	PB V0.37 R1.2		THT					Samtec	HTSW-102-08-G-D-RA	apertus		Bestellen	90° angle PIN HEADER 2x2, samples ordered to bertl 23.11.2020, unfortunately its too high: 6.1mm instead of the 5mm space we have, ordered more samples of tsw-102-08-l-d-ra & TSW-102-08-L-D-RA	€0.35	https://sigma.octopart.com/14433675/technical_drawing/Samtec-HTSW-102-08-G-D-RA.pdf
105	64		2	High Density B2B Connector	100 pin 61083-103402LF	JX1B, JX2B	JX1B_PB,  JX2B_PB	PB V0.37 R1.2	BOT	SMT				649-61083-103402LF			apertus	72mm Tape, 4mm gear, 12mm between parts	Bestellen	mating height zu microzed 7mm, package with metal caps for pick and place machine	€3.00	https://datasheet.octopart.com/61083-103402LF-Amphenol-datasheet-100437232.pdf
106	65		2	High Density B2B Connector	100 pin 61082-101402LF	JX1T, JX2T	JX1T_PB,  JX2T_PB	PB V0.37 R1.2	TOP	SMT				649-61082-101402LF			apertus	72mm Tape, 4mm gear, 12mm between parts	Bestellen	mating height zu mainboard 5mm, package with metal caps for pick and place machine	€6.00	https://datasheet.octopart.com/61082-101402LF-FCI-datasheet-5317982.pdf
107	66		4	SMT Vertical Socket Header WR-PHD, Pitch 2.54 mm, Dual Row, 8 pins	Pinbuchse 2x4	PWR-NE, PWR-NE, PWR-SW, PWR-SE	PWR-NE_PB,  PWR-NE_PB,  PWR-SW_PB,  PWR-SE_PB	PB V0.37 R1.2	BOT	SMT					Samtec 	CLH-104-L-D-BE-K-TR	apertus	Cut Tape/Reel	Bestellen		€1.15	https://datasheet.octopart.com/CLH-104-L-D-BE-K-TR-Samtec-datasheet-14716336.pdf
108	67		1	Diode	DFN1006D2	D1	D1_PB	PB V0.37 R1.2		SMT			2191801	771-PMEG2010BELD,315			Tele	Cut Tape/Reel	Bestellen		€0.12	https://datasheet.octopart.com/PMEG2010BELD%2C315-Nexperia-datasheet-87844673.pdf
																						
																						
																						
						Verschiedene Komponenten (SMT)		92														
						Verschiedene Komponenten (THT)		6														
																						
						davon verschiedene Standardkomponenten (bereits in Tele ERP)		17														
						davon verschiedene beigestellte Komponenten (noch nicht in Tele ERP)		81														
																						
						Platzierungen pro Panel (SMT)		442														
						Platzierungen pro Panel (THT)		14														
																						
						Verschiedene Komponenten SMT die für die andere Seite gerüstet bleiben können		TODO														
